Cut,36.1/fb_weighted_yield,uncertainty,raw,PDG_rounded_yield,PDG_rounded_uncertainty
trigMatch_metTrig,-32852.567,32928.637,2322,-33000,33000
nLep_base==2,-32865.638,32928.637,1905,-33000,33000
nLep_signal==2,-32865.638,32928.637,1905,-33000,33000
lep1Flavor == lep2Flavor,-32886.528,32928.637,1289,-33000,33000
lep1Charge != lep2Charge,-32892.767,32928.637,1102,-33000,33000
((lep1TruthMatched && lep2TruthMatched) || (DatasetNumber >= 407311 && DatasetNumber <= 407315)),-32893.396,32928.637,1080,-33000,33000
(lep1Author != 16 && lep2Author != 16),-32893.419,32928.637,1079,-33000,33000
met_Et>200,-32893.419,32928.637,1079,-33000,33000
nBJet20_MV2c10 == 0,-32915.377,32928.637,454,-33000,33000
jetPt[0]>100,-32915.377,32928.637,454,-33000,33000
DPhiJ1Met > 2.0,12.395,0.697,428,12.4,0.7
minDPhiAllJetsMet > 0.4,10.636,0.660,360,10.6,0.7
(MTauTau < 0 || MTauTau > 160),9.327,0.622,315,9.3,0.6
lep1Pt > 5,9.327,0.622,315,9.3,0.6
mll > 1,9.327,0.622,315,9.3,0.6
(mll < 3 || mll > 3.2),9.327,0.622,315,9.3,0.6
mll < 60,9.327,0.622,315,9.3,0.6
METOverHTLep > max(5.0; 15 - 2*mll),5.491,0.494,188,5.5,0.5
Rll < 2,4.498,0.462,153,4.5,0.5
mt_lep1 < 70,2.062,0.278,78,2.06,0.28
mll < 40,1.988,0.275,74,1.99,0.27
mll < 30,1.926,0.273,71,1.93,0.27
mll < 20,1.682,0.261,61,1.68,0.26
mll < 10,0.468,0.173,14,0.47,0.17
mll < 5,0.045,0.032,2,0.045,0.032
mll < 3,0.024,0.024,1,0.024,0.024
METOverHTLep > max(3.0; 15 - 2*(mt2leplsp_100 - 100)),7.479,0.566,254,7.5,0.6
mt2leplsp_100 < 130,6.344,0.479,223,6.3,0.5
mt2leplsp_100 < 120,5.550,0.451,195,5.5,0.5
mt2leplsp_100 < 110,3.334,0.361,115,3.3,0.4
mt2leplsp_100 < 105,0.891,0.183,31,0.89,0.18
mt2leplsp_100 < 102,0.098,0.049,4,0.10,0.05
